,PSZACcontroller_oveHeaCor_u,PSZACcontroller_oveHeaPer1_u,PSZACcontroller_oveHeaPer2_u,PSZACcontroller_oveHeaPer3_u,PSZACcontroller_oveHeaPer4_u,TDryBul,HGloHor,Occupancy[core_zn],Occupancy[perimeter_zn_1],Occupancy[perimeter_zn_2],Occupancy[perimeter_zn_3],Occupancy[perimeter_zn_4],senTemRoom_y,senTemRoom1_y,senTemRoom2_y,senTemRoom3_y,senTemRoom4_y,timestamp
2020-01-19 12:15:00,0.232,0.293,0.465,0.346,0.764,0.44999999999999996,216.5,7.483,5.6725,3.365,5.6725,3.365,306.88752112542016,306.0713792345308,312.87320749141645,305.63460775873807,317.64248605692563,2020-01-19 12:15:00
2020-01-19 12:20:00,0.232,0.293,0.465,0.346,0.764,0.4,216.33333333333334,7.483,5.6725,3.365,5.6725,3.365,306.8743495894973,306.0905076133609,312.8031567813386,305.6793171146053,317.8287683065304,2020-01-19 12:20:00
2020-01-19 12:25:00,0.232,0.293,0.465,0.346,0.764,0.35,216.16666666666666,7.483,5.6725,3.365,5.6725,3.365,306.9078928529277,306.1400997421498,312.7342936465918,305.7410107816964,317.8386710452948,2020-01-19 12:25:00
2020-01-19 12:30:00,0.232,0.293,0.465,0.346,0.764,0.3,216.0,7.483,5.6725,3.365,5.6725,3.365,306.9400698268024,306.18773830447856,312.66835406397274,305.8003947645484,317.8513880845772,2020-01-19 12:30:00
2020-01-19 12:35:00,0.232,0.293,0.465,0.346,0.764,0.25,215.83333333333334,7.483,5.6725,3.365,5.6725,3.365,306.93117475072296,306.16261664848673,312.70349093436124,305.7735427903507,317.829088549535,2020-01-19 12:35:00
2020-01-19 12:40:00,0.232,0.293,0.465,0.346,0.764,0.2,215.66666666666666,7.483,5.6725,3.365,5.6725,3.365,306.92309256744323,306.1393510052182,312.73579143243546,305.7487451433386,317.8083843303178,2020-01-19 12:40:00
2020-01-19 12:45:00,0.232,0.293,0.465,0.346,0.764,0.14999999999999997,215.5,7.483,5.6725,3.365,5.6725,3.365,306.90854402894746,306.13249275205584,312.7057895935942,305.7545970476656,317.90086345169306,2020-01-19 12:45:00
2020-01-19 12:50:00,0.254,0.309,0.392,0.344,0.807,0.09999999999999998,215.33333333333334,7.483,5.6725,3.365,5.6725,3.365,307.0658861943643,306.2541891211156,311.8901654668952,305.7439644044442,318.43049141692313,2020-01-19 12:50:00
2020-01-19 12:55:00,0.254,0.309,0.392,0.344,0.807,0.050000000000000044,215.16666666666666,7.483,5.6725,3.365,5.6725,3.365,307.1593747088985,306.32600774306565,311.60912043465504,305.7588033096132,318.5472786542271,2020-01-19 12:55:00
2020-01-19 13:00:00,0.254,0.309,0.392,0.344,0.807,0.0,215.0,14.2177,10.77775,6.3935,10.77775,6.3935,307.24908327970087,306.39496089006116,311.32827317127754,305.77217801385666,318.66648246699845,2020-01-19 13:00:00
2020-01-19 13:05:00,0.254,0.309,0.392,0.344,0.807,-0.049999999999999996,209.25,14.2177,10.77775,6.3935,10.77775,6.3935,307.296186273176,306.45675016502804,311.5929118024382,305.88481612815565,318.60019226333156,2020-01-19 13:05:00
2020-01-19 13:10:00,0.254,0.309,0.392,0.344,0.807,-0.09999999999999999,203.5,14.2177,10.77775,6.3935,10.77775,6.3935,307.34046026204203,306.514917105913,311.8372776417478,305.9907817426984,318.5383541788373,2020-01-19 13:10:00
2020-01-19 13:15:00,0.254,0.309,0.392,0.344,0.807,-0.15,197.75,14.2177,10.77775,6.3935,10.77775,6.3935,307.3154364981816,306.48956783769603,311.7174388070729,305.96241466024156,318.6717906226382,2020-01-19 13:15:00
2020-01-19 13:20:00,0.254,0.309,0.392,0.344,0.807,-0.19999999999999998,192.0,14.2177,10.77775,6.3935,10.77775,6.3935,307.2901772168047,306.4643045558202,311.60649902361564,305.93473543969446,318.7951901601012,2020-01-19 13:20:00
2020-01-19 13:25:00,0.254,0.309,0.392,0.344,0.807,-0.25,186.25,14.2177,10.77775,6.3935,10.77775,6.3935,307.2934804634449,306.4738548996809,311.49228756047285,305.929328328492,318.8328911732547,2020-01-19 13:25:00
2020-01-19 13:30:00,0.254,0.309,0.392,0.344,0.807,-0.3,180.5,14.2177,10.77775,6.3935,10.77775,6.3935,307.2943632256806,306.4806264966477,311.3805532991536,305.9218579644721,318.8685483187317,2020-01-19 13:30:00
2020-01-19 13:35:00,0.254,0.309,0.392,0.344,0.807,-0.35,174.75,14.2177,10.77775,6.3935,10.77775,6.3935,307.30863968112493,306.48706510757125,311.4297876453317,305.94986422004473,318.8726760599765,2020-01-19 13:35:00
2020-01-19 13:40:00,0.254,0.309,0.392,0.344,0.807,-0.39999999999999997,169.0,14.2177,10.77775,6.3935,10.77775,6.3935,307.3199777576163,306.4909992493011,311.4723355563997,305.9741591562406,318.87499504587225,2020-01-19 13:40:00
2020-01-19 13:45:00,0.254,0.309,0.392,0.344,0.807,-0.45,163.25,14.2177,10.77775,6.3935,10.77775,6.3935,307.31932286093866,306.47816839134356,311.4261710699338,305.9733198253755,318.9394332922194,2020-01-19 13:45:00
2020-01-19 13:50:00,0.282,0.302,0.322,0.411,0.762,-0.5,157.5,14.2177,10.77775,6.3935,10.77775,6.3935,307.53452229577067,306.40751998472064,310.6262449784667,306.5000833569349,318.535164315976,2020-01-19 13:50:00
2020-01-19 13:55:00,0.282,0.302,0.322,0.411,0.762,-0.5499999999999999,151.75,14.2177,10.77775,6.3935,10.77775,6.3935,307.64361004813065,306.3744513593067,310.30818403958125,306.7152562771703,318.4452706747263,2020-01-19 13:55:00
2020-01-19 14:00:00,0.282,0.302,0.322,0.411,0.762,-0.6,146.0,14.2177,10.77775,6.3935,10.77775,6.3935,307.7470895291357,306.34015808164355,309.99126089877524,306.9231877106472,318.350879716743,2020-01-19 14:00:00
2020-01-19 14:05:00,0.282,0.302,0.322,0.411,0.762,-0.6,141.08333333333334,14.2177,10.77775,6.3935,10.77775,6.3935,307.69923032625115,306.3445646575517,310.17535190330085,306.7643081627752,318.50531409727387,2020-01-19 14:05:00
2020-01-19 14:10:00,0.282,0.302,0.322,0.411,0.762,-0.6,136.16666666666666,14.2177,10.77775,6.3935,10.77775,6.3935,307.652392553824,306.3464557026749,310.3422866621416,306.6132987421986,318.6477708548168,2020-01-19 14:10:00
2020-01-19 14:15:00,0.282,0.302,0.322,0.411,0.762,-0.6,131.25,14.2177,10.77775,6.3935,10.77775,6.3935,307.64572315102157,306.32950637890156,310.2581062763918,306.6601731956901,318.57362880661714,2020-01-19 14:15:00
2020-01-19 14:20:00,0.282,0.302,0.322,0.411,0.762,-0.6,126.33333333333333,14.2177,10.77775,6.3935,10.77775,6.3935,307.6370477742818,306.31143920800554,310.1793600885343,306.7013153715298,318.50401074241523,2020-01-19 14:20:00
2020-01-19 14:25:00,0.282,0.302,0.322,0.411,0.762,-0.6,121.41666666666666,14.2177,10.77775,6.3935,10.77775,6.3935,307.66360515801466,306.28839623420276,310.04441827355276,306.7662263817115,318.5024560909376,2020-01-19 14:25:00
2020-01-19 14:30:00,0.282,0.302,0.322,0.411,0.762,-0.6,116.5,14.2177,10.77775,6.3935,10.77775,6.3935,307.68684698752287,306.2643450478967,309.9137007289566,306.8263283061971,318.4979322403428,2020-01-19 14:30:00
2020-01-19 14:35:00,0.282,0.302,0.322,0.411,0.762,-0.6,111.58333333333333,14.2177,10.77775,6.3935,10.77775,6.3935,307.68651926651484,306.2517506344206,309.9237941098926,306.79894752965083,318.545899312942,2020-01-19 14:35:00
2020-01-19 14:40:00,0.282,0.302,0.322,0.411,0.762,-0.6,106.66666666666666,14.2177,10.77775,6.3935,10.77775,6.3935,307.68438027462196,306.23757338047693,309.9292992573168,306.7715149891993,318.5892301968764,2020-01-19 14:40:00
