,senHeaPow1_y,PSZACcontroller_oveHeaPer1_u,TDryBul,HGloHor,Occupancy[perimeter_zn_1],senTemRoom1_y,timestamp
2020-01-01 12:40:00,0.0,0.0,-1.4666666666666668,197.0,0.0,292.9554420147398,2020-01-01 12:40:00
2020-01-01 12:45:00,0.0,0.0,-1.375,192.75,0.0,292.90298008006056,2020-01-01 12:45:00
2020-01-01 12:50:00,0.0,0.0,-1.2833333333333332,188.5,0.0,292.85042649620846,2020-01-01 12:50:00
2020-01-01 12:55:00,0.0,0.0,-1.1916666666666667,184.25,0.0,292.80518418306445,2020-01-01 12:55:00
2020-01-01 13:00:00,0.0,0.0,-1.1,180.0,0.0,292.7597719738907,2020-01-01 13:00:00
2020-01-01 13:05:00,0.0,0.0,-1.1,174.83333333333334,0.0,292.6912632247064,2020-01-01 13:05:00
2020-01-01 13:10:00,0.0,0.0,-1.1,169.66666666666666,0.0,292.6227954659048,2020-01-01 13:10:00
2020-01-01 13:15:00,0.0,0.0,-1.1,164.5,0.0,292.56666732585256,2020-01-01 13:15:00
2020-01-01 13:20:00,0.0,0.0,-1.1,159.33333333333334,0.0,292.510480085715,2020-01-01 13:20:00
2020-01-01 13:25:00,0.0,0.0,-1.1,154.16666666666666,0.0,292.4682700772015,2020-01-01 13:25:00
2020-01-01 13:30:00,0.0,0.0,-1.1,149.0,0.0,292.42589382613164,2020-01-01 13:30:00
2020-01-01 13:35:00,0.0,0.0,-1.1,143.83333333333334,0.0,292.3953260610413,2020-01-01 13:35:00
2020-01-01 13:40:00,0.0,0.0,-1.1,138.66666666666666,0.0,292.3645209061648,2020-01-01 13:40:00
2020-01-01 13:45:00,0.0,0.0,-1.1,133.5,0.0,292.33769530178097,2020-01-01 13:45:00
2020-01-01 13:50:00,0.0,0.0,-1.1,128.33333333333334,0.0,292.310644064062,2020-01-01 13:50:00
2020-01-01 13:55:00,0.0,0.0,-1.1,123.16666666666666,0.0,292.28450031109304,2020-01-01 13:55:00
2020-01-01 14:00:00,0.0,0.0,-1.1,118.0,0.0,292.2581728843132,2020-01-01 14:00:00
2020-01-01 14:05:00,0.0,0.0,-1.1,112.16666666666667,0.0,292.23022693682145,2020-01-01 14:05:00
2020-01-01 14:10:00,0.0,0.0,-1.1,106.33333333333333,0.0,292.20215619811444,2020-01-01 14:10:00
2020-01-01 14:15:00,0.0,0.0,-1.1,100.5,0.0,292.19452834717265,2020-01-01 14:15:00
2020-01-01 14:20:00,0.0,0.0,-1.1,94.66666666666667,0.0,292.18665018846787,2020-01-01 14:20:00
2020-01-01 14:25:00,0.0,0.0,-1.1,88.83333333333333,0.0,292.16916724243873,2020-01-01 14:25:00
2020-01-01 14:30:00,0.0,0.0,-1.1,83.0,0.0,292.15155536437993,2020-01-01 14:30:00
2020-01-01 14:35:00,0.0,0.0,-1.1,77.16666666666666,0.0,292.11553017508714,2020-01-01 14:35:00
2020-01-01 14:40:00,0.0,0.0,-1.1,71.33333333333334,0.0,292.07956755561736,2020-01-01 14:40:00
2020-01-01 14:45:00,0.0,0.0,-1.1,65.5,0.0,292.0410043942175,2020-01-01 14:45:00
2020-01-01 14:50:00,0.0,0.0,-1.1,59.666666666666664,0.0,292.00253194414057,2020-01-01 14:50:00
2020-01-01 14:55:00,0.0,0.0,-1.1,53.83333333333333,0.0,291.96651857603956,2020-01-01 14:55:00
2020-01-01 15:00:00,0.0,0.0,-1.1,48.0,0.0,291.93056303457763,2020-01-01 15:00:00
2020-01-01 15:05:00,0.0,0.0,-1.1,44.416666666666664,0.0,291.8957547163098,2020-01-01 15:05:00
2020-01-01 15:10:00,0.0,0.0,-1.1,40.833333333333336,0.0,291.86098389452434,2020-01-01 15:10:00
2020-01-01 15:15:00,0.0,0.0,-1.1,37.25,0.0,291.8102379687787,2020-01-01 15:15:00
2020-01-01 15:20:00,0.0,0.0,-1.1,33.666666666666664,0.0,291.759651907538,2020-01-01 15:20:00
2020-01-01 15:25:00,0.0,0.0,-1.1,30.083333333333332,0.0,291.71684711303226,2020-01-01 15:25:00
2020-01-01 15:30:00,0.0,0.0,-1.1,26.5,0.0,291.67411104238244,2020-01-01 15:30:00
2020-01-01 15:35:00,0.0,0.0,-1.1,22.916666666666664,0.0,291.64345109967013,2020-01-01 15:35:00
2020-01-01 15:40:00,0.0,0.0,-1.1,19.333333333333332,0.0,291.61273911197986,2020-01-01 15:40:00
2020-01-01 15:45:00,0.0,0.0,-1.1,15.75,0.0,291.584071135224,2020-01-01 15:45:00
2020-01-01 15:50:00,0.0,0.0,-1.1,12.166666666666664,0.0,291.5553333225005,2020-01-01 15:50:00
2020-01-01 15:55:00,0.0,0.0,-1.1,8.583333333333329,0.0,291.52327976407435,2020-01-01 15:55:00
2020-01-01 16:00:00,0.0,0.0,-1.1,5.0,0.0,291.4911935761664,2020-01-01 16:00:00
2020-01-01 16:05:00,0.0,0.0,-1.1500000000000001,4.583333333333333,0.0,291.45743890317135,2020-01-01 16:05:00
2020-01-01 16:10:00,0.0,0.0,-1.2000000000000002,4.166666666666667,0.0,291.42367402701234,2020-01-01 16:10:00
2020-01-01 16:15:00,0.0,0.0,-1.25,3.75,0.0,291.39054927246127,2020-01-01 16:15:00
2020-01-01 16:20:00,0.0,0.0,-1.3,3.333333333333333,0.0,291.3574138899145,2020-01-01 16:20:00
2020-01-01 16:25:00,0.0,0.0,-1.35,2.9166666666666665,0.0,291.31823706767796,2020-01-01 16:25:00
2020-01-01 16:30:00,0.0,0.0,-1.4,2.5,0.0,291.2791031161372,2020-01-01 16:30:00
2020-01-01 16:35:00,0.0,0.0,-1.45,2.083333333333333,0.0,291.25481077270956,2020-01-01 16:35:00
2020-01-01 16:40:00,0.0,0.0,-1.5,1.6666666666666665,0.0,291.2304334030296,2020-01-01 16:40:00
2020-01-01 16:45:00,0.0,0.0,-1.55,1.25,0.0,291.21295126915726,2020-01-01 16:45:00
2020-01-01 16:50:00,0.0,0.0,-1.6,0.833333333333333,0.0,291.19533680643394,2020-01-01 16:50:00
2020-01-01 16:55:00,0.0,0.0,-1.65,0.4166666666666661,0.0,291.176781423636,2020-01-01 16:55:00
2020-01-01 17:00:00,0.0,0.0,-1.7,0.0,0.0,291.15812425497734,2020-01-01 17:00:00
2020-01-01 17:05:00,0.0,0.0,-1.7416666666666667,0.0,0.0,291.13724610898026,2020-01-01 17:05:00
2020-01-01 17:10:00,0.0,0.0,-1.7833333333333332,0.0,0.0,291.1163081278336,2020-01-01 17:10:00
2020-01-01 17:15:00,0.0,0.0,-1.825,0.0,0.0,291.09673052748684,2020-01-01 17:15:00
2020-01-01 17:20:00,0.0,0.0,-1.8666666666666667,0.0,0.0,291.0771012531203,2020-01-01 17:20:00
2020-01-01 17:25:00,0.0,0.0,-1.9083333333333334,0.0,0.0,291.0592825951768,2020-01-01 17:25:00
2020-01-01 17:30:00,0.0,0.0,-1.9500000000000002,0.0,0.0,291.0414100740451,2020-01-01 17:30:00
2020-01-01 17:35:00,0.0,0.0,-1.9916666666666667,0.0,0.0,291.02434729974846,2020-01-01 17:35:00
2020-01-01 17:40:00,0.0,0.0,-2.033333333333333,0.0,0.0,291.0072390578153,2020-01-01 17:40:00
2020-01-01 17:45:00,0.0,0.0,-2.075,0.0,0.0,290.9906293358293,2020-01-01 17:45:00
2020-01-01 17:50:00,0.0,0.0,-2.1166666666666667,0.0,0.0,290.9739804382298,2020-01-01 17:50:00
2020-01-01 17:55:00,0.0,0.0,-2.1583333333333337,0.0,0.0,290.95793690353514,2020-01-01 17:55:00
2020-01-01 18:00:00,0.0,0.0,-2.2,0.0,0.0,290.9418593722329,2020-01-01 18:00:00
2020-01-01 18:05:00,0.0,0.0,-2.1083333333333334,0.0,0.0,290.92510303379345,2020-01-01 18:05:00
2020-01-01 18:10:00,0.0,0.0,-2.0166666666666666,0.0,0.0,290.9083271440454,2020-01-01 18:10:00
2020-01-01 18:15:00,0.0,0.0,-1.9250000000000003,0.0,0.0,290.8913022407202,2020-01-01 18:15:00
2020-01-01 18:20:00,0.0,0.0,-1.8333333333333335,0.0,0.0,290.8742661010702,2020-01-01 18:20:00
2020-01-01 18:25:00,0.0,0.0,-1.7416666666666667,0.0,0.0,290.85756742478003,2020-01-01 18:25:00
2020-01-01 18:30:00,0.0,0.0,-1.6500000000000001,0.0,0.0,290.8408595303293,2020-01-01 18:30:00
2020-01-01 18:35:00,0.0,0.0,-1.5583333333333336,0.0,0.0,290.8282667432903,2020-01-01 18:35:00
2020-01-01 18:40:00,0.0,0.0,-1.4666666666666668,0.0,0.0,290.8156328197222,2020-01-01 18:40:00
2020-01-01 18:45:00,0.0,0.0,-1.375,0.0,0.0,290.80061789474985,2020-01-01 18:45:00
2020-01-01 18:50:00,0.0,0.0,-1.2833333333333332,0.0,0.0,290.78558895833805,2020-01-01 18:50:00
2020-01-01 18:55:00,0.0,0.0,-1.1916666666666667,0.0,0.0,290.76926383745916,2020-01-01 18:55:00
2020-01-01 19:00:00,0.0,0.0,-1.1,0.0,0.0,290.7529398780887,2020-01-01 19:00:00
2020-01-01 19:05:00,0.0,0.0,-1.1500000000000001,0.0,0.0,290.74268677311346,2020-01-01 19:05:00
2020-01-01 19:10:00,0.0,0.0,-1.2000000000000002,0.0,0.0,290.73238618204556,2020-01-01 19:10:00
2020-01-01 19:15:00,0.0,0.0,-1.25,0.0,0.0,290.7238427283441,2020-01-01 19:15:00
2020-01-01 19:20:00,0.0,0.0,-1.3,0.0,0.0,290.7152445493199,2020-01-01 19:20:00
2020-01-01 19:25:00,0.0,0.0,-1.35,0.0,0.0,290.7060164396375,2020-01-01 19:25:00
2020-01-01 19:30:00,0.0,0.0,-1.4,0.0,0.0,290.6967509220808,2020-01-01 19:30:00
